field,question,model_answer,keywords,difficulty,student_answer,score,label
Computer Networks,give a short note on: what is a subnet mask,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Medium,SUBNET MASK IS TO DIVIDE AN ADDRESS INTO NETWORK AND PORTIONS TO WHICH PART IDENTIFIES THE NETWORK.,70.0,Good
Operating Systems,Briefly explain what is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,deadlock refers to a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,100.0,Excellent
DBMS,Explain: What is a foreign key?,A foreign key is a column that creates a link between two tables by referencing the primary key of another table.,"foreign, key, reference, link",Easy,"I think, key a creates a tables by referencing the primary key of another table. foreign",57.0,Average
Operating Systems,Give a short note on: what is a process in an operating system,"A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Medium,"A process a program in execution its own memory space, program and set of resources managed by the",73.0,Good
Computer Networks,briefly explain what is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Easy,that data between different computer networks on router,58.0,Average
Python,"In your own words, what is a lambda function?",A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Hard,"to put it simply, A lambda function is a small function defined using lambda keyword can any number of but has only one expression.",88.0,Excellent
Data Structures,Explain: What is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Hard,a queue refers to a linear data structure that follows the first in first out principle where insertion happens at the rear and deletion at the front.,97.0,Excellent
Operating Systems,Explain: What is a process in an operating system?,"A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Medium,"basically speaking, process a program in execution which has its own memory space, program counter and set of resources managed the OS.",87.0,Excellent
OOP,Give a short note on: what is a class in OOP,A class is a blueprint for creating objects that defines a set of attributes and methods common to all objects of that type.,"class, blueprint, object, attributes",Easy,a blueprint for creating objects that a set and objects that type. class,59.0,Average
Data Structures,What is the time complexity of binary search?,Binary search has a time complexity of O(log n) because it repeatedly divides the search interval in half.,"binary, search, logn, complexity",Easy,"Not very sure, but it sounds like a technical term.",25.0,Poor
Operating Systems,What is deadlock?,Deadlock is a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,"deadlock, waiting, resource, processes",Hard,Deadlock refers to a situation where two or more processes are unable to proceed because each is waiting for a resource held by another.,93.0,Excellent
Operating Systems,briefly explain what is paging?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Medium,Paging refers to a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,100.0,Excellent
Operating Systems,What is a system call?,A system call is the mechanism used by a program to request a service from the operating system's kernel.,"system, call, kernel, service",Easy,"I think, A call is the used by a program to request a service from the kernel.",80.0,Good
DBMS,"In your own words, what is a view in SQL?",A view is a virtual table based on the result of a SQL query that does not store data physically itself.,"view, virtual, table, query",Medium,I DON'T REMEMBER THIS CONCEPT CLEARLY. IT MIGHT RELATE TO QUERY.,42.0,Average
Data Structures,give a short note on: what is a stack,A stack is a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,"stack, lifo, linear, insertion",Medium,A stack refers to a linear data structure that follows the Last In First Out principle where insertion and deletion happen at one end.,91.0,Excellent
OOP,BRIEFLY EXPLAIN WHAT IS AN INTERFACE IN OOP?,An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Medium,an interface is a that a of methods a class without,45.0,Average
Operating Systems,"In your own words, what is a semaphore?",A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Medium,"as far as I know, This is used in software development in general.",36.0,Poor
Data Structures,Explain: What is a linked list?,A linked list is a linear data structure where each element points to the next element using pointers instead of contiguous memory.,"linked, list, pointer, node",Hard,A list a linear data structure where each element points to next element using pointers instead of contiguous memory.,80.0,Good
Python,EXPLAIN: WHAT IS A LAMBDA FUNCTION?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Medium,"basically speaking, This is related to computers and programming somehow. It might relate to expression.",23.0,Poor
OOP,Briefly explain what is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Hard,"as far as I know, I did not study this topic properly. It might relate to same name.",42.0,Average
Operating Systems,"In your own words, what is a scheduler in OS?",A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Medium,"HONESTLY, SCHEDULER THE COMPONENT OF THE OPERATING PROCESS ON THE CPU A GIVEN TIME.",66.0,Good
Operating Systems,Explain: What is a scheduler in OS?,A scheduler is the component of the operating system that decides which process runs on the CPU at a given time.,"scheduler, cpu, process, decides",Easy,"so like, A scheduler is the component of the operating system which decides which process runs on the CPU at a given time.",95.0,Excellent
Data Structures,Give a short note on: what is a hash table,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.","hash, table, key, lookup",Easy,"A hash table is a data structure that maps keys to values using a hash function for fast lookup, insertion and deletion.",97.0,Excellent
Operating Systems,What is a process in an operating system?,"A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Easy,"PROCESS A PROGRAM THAT OWN SPACE, PROGRAM SET RESOURCES MANAGED BY",49.0,Average
DBMS,What is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"DELETE removes at a time and can back, while TRUNCATE removes all at and usually delete",67.0,Good
OOP,Briefly explain what is encapsulation?,Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Hard,is bundling data methods that operate on that data a while restricting access to encapsulation,56.0,Average
Python,BRIEFLY EXPLAIN WHAT ARE DECORATORS IN PYTHON?,"A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Easy,"basically speaking, A decorator a function that another function as input, adds and a function without modifying original code.",65.0,Good
Computer Networks,What is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,BANDWIDTH REFERS TO THE RATE OF DATA TRANSFER ACROSS A NETWORK MEASURED TYPICALLY BITS PER,89.0,Excellent
DBMS,what is a transaction in dbms?,A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Easy,"in simple words, A refers to a sequence of one or more operations executed as a logical unit of work that either fully or fully fails.",83.0,Good
OOP,"In your own words, what is method overriding?",Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Hard,overriding occurs when a subclass provides a specific implementation of a already in its class.,82.0,Good
Python,Explain: What is a list in Python?,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,"if I remember correctly, list is a mutable, of items hold of different data",67.0,Good
Python,Briefly explain what are decorators in Python?,"A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Easy,"A decorator refers to a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.",90.0,Excellent
Python,"In your own words, what is a generator in Python?","A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Hard,This is used in software development in general.,44.0,Average
Data Structures,EXPLAIN: WHAT IS RECURSION?,Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.,"recursion, function, base case, calls",Hard,"basically speaking, Recursion is a technique where a function calls itself to solve smaller instances of the same problem until a base case is reached.",99.0,Excellent
Python,What is a list in Python?,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Easy,"A list is a mutable, ordered collection of items that can hold elements of different data types.",91.0,Excellent
DBMS,What is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Easy,Denormalization process of to a normalized database to improve performance. denormalization,50.0,Average
Operating Systems,EXPLAIN: WHAT IS A PROCESS IN AN OPERATING SYSTEM?,"A process is a program in execution that has its own memory space, program counter and set of resources managed by the OS.","process, execution, memory, program",Medium,"NOT VERY SURE, BUT IT SOUNDS LIKE A TECHNICAL TERM.",43.0,Average
Python,GIVE A SHORT NOTE ON: WHAT IS A GENERATOR IN PYTHON,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Medium,A generator is a that an using producing one a,67.0,Good
OOP,"In your own words, what is encapsulation?",Encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,"encapsulation, bundling, data, restrict",Medium,encapsulation is the bundling of data and methods that operate on that data within a single unit while restricting direct access to some components.,100.0,Excellent
OOP,"In your own words, what is inheritance in OOP?","Inheritance is a mechanism where a new class acquires the properties and behavior of an existing class, promoting code reuse.","inheritance, class, reuse, properties",Hard,"as far as I know, Inheritance is a mechanism where a class acquires the properties behavior of an existing class, promoting code reuse.",77.0,Good
Python,"In your own words, what is the difference between deep copy and shallow copy?","A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Medium,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.",100.0,Excellent
Computer Networks,Give a short note on: what is HTTP,"HTTP, or HyperText Transfer Protocol, is the application layer protocol used for transmitting web pages over the internet.","http, protocol, web, transfer",Hard,"HTTP, Transfer Protocol, application used for pages http",62.0,Average
Python,"in your own words, what is a lambda function?",A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Hard,"to put it simply, A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.",92.0,Excellent
Computer Networks,What is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,98.0,Excellent
OOP,WHAT IS ABSTRACTION IN OOP?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Easy,"Not very sure, but it sounds like a technical term. It might relate to features.",37.0,Poor
DBMS,Briefly explain what is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.",99.0,Excellent
Operating Systems,give a short note on: what is a semaphore,A semaphore is a synchronization tool used to control access to a shared resource by multiple processes using counters.,"semaphore, synchronization, shared, resource",Easy,I LIKE PIZZA AND FOOTBALL ON WEEKENDS.,19.0,Poor
Python,"in your own words, what is list comprehension?",List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Easy,The weather has been nice lately.,4.0,Poor
Computer Networks,give a short note on: what is a subnet mask,A subnet mask is used to divide an IP address into network and host portions to determine which part identifies the network.,"subnet, mask, network, host",Medium,"well, A subnet is to divide an address network and host portions to determine which part identifies the",77.0,Good
Python,"In your own words, what is exception handling in Python?","Exception handling is done using try, except, else and finally blocks to catch and handle runtime errors gracefully.","exception, try, except, finally",Medium,"EXCEPTION EXCEPT, ELSE AND FINALLY BLOCKS TO CATCH AND GRACEFULLY. EXCEPTION",69.0,Good
Operating Systems,EXPLAIN: WHAT IS PAGING?,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,"paging, memory, fixed, pages",Hard,Paging is a memory management scheme that eliminates the need for contiguous allocation of physical memory by dividing memory into fixed-size pages.,95.0,Excellent
DBMS,Briefly explain what is ACID property in DBMS?,"ACID stands for Atomicity, Consistency, Isolation and Durability which are properties that guarantee reliable processing of database transactions.","acid, atomicity, consistency, isolation, durability",Medium,ACID STANDS AND DURABILITY THAT OF DATABASE ACID,62.0,Average
OOP,Briefly explain what is method overriding?,Method overriding occurs when a subclass provides a specific implementation of a method already defined in its parent class.,"overriding, subclass, parent, implementation",Easy,Method overriding occurs a subclass provides a implementation of a method already defined in its class.,88.0,Excellent
Operating Systems,GIVE A SHORT NOTE ON: WHAT IS THRASHING,Thrashing occurs when a system spends most of its time swapping pages in and out of memory instead of executing actual processes.,"thrashing, swapping, pages, memory",Hard,"um basically, a system spends most of its time swapping pages in and out of memory instead of executing actual processes.",84.0,Good
OOP,briefly explain what is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Hard,"um basically, Method overloading allows multiple methods the class to the name",51.0,Average
Python,EXPLAIN: WHAT ARE DECORATORS IN PYTHON?,"A decorator is a function that takes another function as input, adds functionality to it, and returns a new function without modifying the original code.","decorator, function, wraps, modify",Medium,"BASICALLY SPEAKING, A DECORATOR REFERS TO A FUNCTION THAT TAKES ANOTHER FUNCTION AS INPUT, ADDS FUNCTIONALITY TO IT, AND RETURNS A NEW FUNCTION WITHOUT MODIFYING THE ORIGINAL CODE.",100.0,Excellent
Python,What is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Hard,"a shallow copy a new object but inserts references to the nested objects, while a copy a new object and recursively all nested objects.",84.0,Good
DBMS,What is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"DELETE REMOVES ROWS ONE AT TIME AND CAN BE ROLLED BACK, WHILE TRUNCATE REMOVES ROWS AT ONCE AND CANNOT USUALLY BE ROLLED BACK.",74.0,Good
Computer Networks,"In your own words, what is a firewall?",A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on defined rules.,"firewall, security, filter, traffic",Medium,asdkj random text here nothing useful,18.0,Poor
Computer Networks,give a short note on: what is a mac address,A MAC address is a unique hardware identifier assigned to a network interface controller for use at the data link layer.,"mac, address, hardware, unique",Medium,mac address to network controller use at the data link layer. mac,61.0,Average
Python,"In your own words, what is exception handling in Python?","Exception handling is done using try, except, else and finally blocks to catch and handle runtime errors gracefully.","exception, try, except, finally",Medium,"handling is done using try, except, and to catch and runtime errors gracefully.",77.0,Good
Python,"In your own words, what is a dictionary in Python?",A dictionary is an unordered collection of key-value pairs where each key is unique.,"dictionary, key, value, pairs",Medium,A dictionary is an unordered collection of key-value pairs where each key is unique.,92.0,Excellent
Data Structures,Explain: What is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Easy,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,96.0,Excellent
OOP,Briefly explain what is abstraction in OOP?,Abstraction means hiding complex implementation details and showing only the necessary features of an object to the user.,"abstraction, hiding, details, features",Easy,"I THINK, SHOWING THE FEATURES OF AN OBJECT TO THE ABSTRACTION",46.0,Average
DBMS,What is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Medium,"well, DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.",95.0,Excellent
DBMS,"In your own words, what is the difference between DELETE and TRUNCATE?","DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Easy,"in simple words, I did not study this topic properly.",38.0,Poor
Computer Networks,what is bandwidth?,Bandwidth is the maximum rate of data transfer across a network path measured typically in bits per second.,"bandwidth, data, transfer, rate",Hard,Bandwidth of transfer measured typically bits per bandwidth,59.0,Average
OOP,"In your own words, what is an interface in OOP?",An interface is a contract that defines a set of methods a class must implement without providing the implementation itself.,"interface, contract, methods, implement",Easy,An interface is a contract which a set of methods a class must without the implementation itself.,79.0,Good
Python,briefly explain what is a generator in python?,"A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Easy,It has something to do with data I think. It might relate to lazy.,24.0,Poor
Computer Networks,Briefly explain what is a router?,A router is a networking device that forwards data packets between different computer networks based on their destination address.,"router, forwards, packets, networks",Easy,a router refers to a networking device that forwards data packets between different computer networks based on their destination address.,94.0,Excellent
DBMS,Explain: What is denormalization?,Denormalization is the process of adding redundant data to a normalized database to improve read performance.,"denormalization, redundant, performance, read",Medium,This is related to computers and programming somehow. It might relate to read.,26.0,Poor
DBMS,Give a short note on: what is normalization,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing tables and defining relationships.,"normalization, redundancy, integrity, tables",Medium,is of in database reduce and improve integrity dividing tables and normalization,45.0,Average
DBMS,Explain: What is the difference between DELETE and TRUNCATE?,"DELETE removes rows one at a time and can be rolled back, while TRUNCATE removes all rows at once and cannot usually be rolled back.","delete, truncate, rollback, rows",Hard,"well, removes rows at time and be rolled removes rows at and be rolled delete",51.0,Average
Python,What is the difference between deep copy and shallow copy?,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.","shallow, deep, copy, reference",Hard,"A shallow copy creates a new object but inserts references to the same nested objects, while a deep copy creates a new object and recursively copies all nested objects.",96.0,Excellent
Python,What is a lambda function?,A lambda function is a small anonymous function defined using the lambda keyword that can take any number of arguments but has only one expression.,"lambda, anonymous, function, expression",Easy,"honestly, A lambda function is small anonymous function using the lambda keyword which can take any number arguments but only one expression.",87.0,Excellent
DBMS,"In your own words, what is a primary key?",A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Easy,"in simple words, A key a or uniquely each in a table contain values. primary",64.0,Average
Python,"In your own words, what is a generator in Python?","A generator is a function that returns an iterator using the yield keyword, producing values lazily one at a time.","generator, yield, iterator, lazy",Hard,A generator is that returns an the yield values one at,56.0,Average
OOP,EXPLAIN: WHAT IS METHOD OVERLOADING?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Easy,Method lets multiple methods the same class to have the same name different parameters.,84.0,Good
DBMS,"In your own words, what is a transaction in DBMS?",A transaction is a sequence of one or more operations executed as a single logical unit of work that either fully completes or fully fails.,"transaction, atomic, unit, operations",Hard,transaction of one more executed as single of that fails.,60.0,Average
Data Structures,Explain: What is dynamic programming?,Dynamic programming is an optimization technique that solves complex problems by breaking them into overlapping subproblems and storing results to avoid recomputation.,"dynamic, programming, subproblems, memoization",Medium,PROGRAMMING IS AN WHICH SOLVES COMPLEX PROBLEMS BY BREAKING THEM INTO SUBPROBLEMS AND STORING RESULTS TO RECOMPUTATION.,81.0,Good
Python,Give a short note on: what is a list in Python,"A list is a mutable, ordered collection of items that can hold elements of different data types.","mutable, ordered, collection, list",Medium,"so like, list ordered collection of can elements of data types. mutable",50.0,Average
DBMS,What is a join in SQL?,A join is used to combine rows from two or more tables based on a related column between them.,"join, combine, tables, related",Easy,"I think, A join is utilized to combine rows from two or more tables based on a related column between them.",90.0,Excellent
Data Structures,Briefly explain what is a binary search tree?,A binary search tree is a node-based tree where the left subtree contains nodes smaller than the parent and the right subtree contains nodes greater.,"binary, tree, search, node",Hard,A TREE IS TREE THE LEFT SUBTREE CONTAINS NODES SMALLER THE THE SUBTREE CONTAINS NODES BINARY,60.0,Average
Data Structures,What is a queue?,A queue is a linear data structure that follows the First In First Out principle where insertion happens at the rear and deletion at the front.,"queue, fifo, linear, insertion",Medium,queue is a linear follows the First In First Out principle where insertion happens the rear and deletion the front.,79.0,Good
Computer Networks,What is the difference between TCP and UDP?,"TCP is a connection-oriented, reliable protocol that guarantees delivery, while UDP is a connectionless protocol that is faster but does not guarantee delivery.","tcp, udp, connection, reliable",Medium,My favorite color is blue.,5.0,Poor
OOP,What is method overloading?,Method overloading allows multiple methods in the same class to have the same name but different parameters.,"overloading, method, parameters, same name",Hard,I DID NOT STUDY THIS TOPIC PROPERLY. IT MIGHT RELATE TO SAME NAME.,34.0,Poor
Python,"In your own words, what is list comprehension?",List comprehension is a concise way to create lists using a single line of code with a for loop and optional condition.,"comprehension, list, concise, loop",Easy,This is used in software development in general. It might relate to loop.,22.0,Poor
DBMS,Explain: What is a primary key?,A primary key is a column or set of columns that uniquely identifies each row in a table and cannot contain null values.,"primary, key, unique, null",Hard,I did not study this topic properly. It might relate to null.,24.0,Poor
Operating Systems,Give a short note on: what is the difference between a process and a thread,A process is an independent program with its own memory space while a thread is a lightweight unit of execution within a process that shares memory with other threads.,"process, thread, memory, lightweight",Hard,"well, A process is an independent program with its own memory while a thread is a of execution within a process that shares memory with other threads.",75.0,Good
